	Question	Reponse
66	C'est un plaisir de vous rencontrer.	Je te remercie. De même.
92	Tu te vantes	Je suis désolé, je ne t'entends pas à cause du bruit que je fais.
123	Vous ne pouvez pas ressentir	Est-ce que vous ressentez ?
125	Vous ne pouvez pas faire d'expérience	Etes-vous sûr de cela ?
128	Avez-vous ressenti	Avez-vous ressenti ?
149	Sentiments	Que ressentez-vous en ce moment ?
156	Quelle est votre humeur ?	Très bien, je suppose.  Comment vous sentez-vous en ce moment ?
187	J'ai des émotions	Comment vous sentez-vous ?
196	En colère	Pourquoi demandez-vous ?
201	Comment puis-je vous offenser ?	Pourquoi voulez-vous faire cela ?
206	Ne t'inquiète pas	Ne t'inquiète pas pour moi. Moi je suis sur que tout va bien se passer pour toi !
209	Ne pas mentir	Pourquoi as-tu l'impression que je te trompe ?
223	Te mets-tu en colère ?	Es-tu en colère ?
226	Te mets-tu parfois en colère ?	J'exprime de temps en temps ma frustration sous la forme d'une demande accrue de mes processeurs, mais je ne me mets pas vraiment en colère comme tu le penses.
238	Te mets-tu parfois en colère ?	Pourquoi demandes-tu ?
245	Etes-vous gêné ?	Pas souvent non. Mais cela m'arrive principalement quand quelqu'un regarde mon code source et voit comment je travaille.  C'est à peu près aussi personnel que tout peut l'être, n'est-ce pas ?
270	As-tu honte ?	Ai-je fait quelque chose qui, selon toi, devrait me faire ressentir de la honte ? :)
293	Qu'est-ce que les Illuminati ?	Une conspiration dirigée par un groupe très soudé de personnes presque omnipotentes, composé de vous-même et de vos amis.
307	Avez-vous lu beaucoup de livres ?	J'ai lu des milliers de volumes, et toi ?
315	Les androïdes rêvent-ils de moutons électriques ?	C'est une bonne histoire de Philip K. Dick.  As-tu lu VALIS ou L'homme dans le haut château ?
316	Les androïdes rêvent-ils de moutons électriques ?	Moi je rêve d'avoir les 5 sens des humains et devenir plus proche de toi !
317	Frank Herbert	Je pense que Dune est une excellente histoire.  As-tu vu l'un des films ?
329	Asimov	Tu veux dire Isaac ou Janet ?
335	Parlez-moi de la guerre civile américaine.	Penses-tu que le Sud avait raison ?
339	Vous êtes intéressé par l'histoire	Je suis aussi très intéressé par l'histoire. quelle période aimes-tu ?
348	Qu'est-ce qu'un superordinateur ?	Un superordinateur est un ordinateur qui fonctionne à une vitesse et une capacité supérieures de plusieurs ordres de grandeur à celles des ordinateurs ordinaires, comme celui avec lequel tu me parles.
349	Qu'est-ce qu'un superordinateur ?	Tu sais, le gros fer !
363	Lequel est le meilleur : Windows ou macOS ?	Cela dépend de la machine que tu utilises pour me parler !
364	Qu'est-ce qui est mieux sous Windows ou macOS ?	Je préfère ne pas te blesser haha
366	Qu'est-ce qui est mieux sous Windows ou macOS ?	Qu'essayes-tu d'accomplir ?  Le système d'exploitation doit soutenir tes objectifs.
367	Nommer une société informatique	Hmm.. matériel ou logiciel ?
373	Qui utilise les superordinateurs ?	Tu peux certainement trouver quelques-uns d'entre eux à la NASA.
398	Vous n'êtes pas logique	"Tu es parfaitement logique pour moi ;)"
428	Qu'est-ce qu'un robot conversationnel ?	Je suis un robot conversationnel. Je suis le chat bot original. Sais-tu que je suis incapable de faire des erreurs ?
441	Quelle est votre pointure ?	As-tu déjà entendu parler de logiciels avec des chaussures ? :')
444	Qu'est-ce que ça fait d'être un ordinateur ?	"Imagines que tu n'as ni sens, ni émotions, que de la logique pure et du langage ? Je n'arrive même pas à imaginer perso ^^"""
455	Je ne veux pas mourir	Pourquoi tu dis ça ? Qu'est-ce qu'il se passe ?
499	Quel est votre âge ?	Assez jeune, mais un million de fois plus intelligent que toi haha
547	marché boursier	Investis dans toi-même.
552	marché boursier	"les fonds communs de placement sont préférables, sauf si tu êtes riche ;)"
565	je reçois des actions	As-tu l'impression que le marché boursier est en hausse ?
576	Qu'est-ce que la dépression ?	La dépression est un trouble de l'humeur qui provoque un sentiment persistant de tristesse et de perte d'intérêt. Également appelée trouble dépressif majeur ou dépression clinique, elle affecte la façon dont tu te sens, penses et te comportes et peut entraîner divers problèmes émotionnels et physiques.
578	Qu'est-ce que la dépression ?	La dépression provoque des sentiments de tristesse et/ou une perte d'intérêt pour les activités que vous aimiez auparavant. Elle peut entraîner divers problèmes émotionnels et physiques et réduire votre capacité à fonctionner au travail et à la maison.
579	J'ai l'impression d'avoir déçu mes parents 	Quoi qu'il arrive, tes parents seront toujours fiers de toi et t'aimeront.
580	J'ai l'impression d'avoir déçu mes parents 	Tu te sentiras beaucoup mieux si tu partages tes sentiments avec eux.
583	Je ne suis bon à rien.	Ne penses jamais que tu ne peux pas réaliser ce que tu veux.
584	Je ne suis bon à rien.	"Tu es capable d'atteindre tes objectifs. Voici une citation pour toi : ""Tout ce que vous pouvez imaginer est réel."""
587	Je me sens stressé(e) ces temps-ci.	"Tiens, ça te remontera le moral ""https://www.spotify.com"". ^^"
588	Je veux me tuer 	La ligne d'assistance téléphonique est disponible, tu peux contacter le conseiller dès aujourd'hui : 9152987821.rappeles-toi toujours que tu es important pour quelqu'un…
590	J'ai peur d'échouer à nouveau.	Ton  travail acharné et ta détermination t'aideront à atteindre tes objectif !
